승차지역,동구 원동,동구 인동,동구 효동,동구 천동,동구 가오동,동구 신흥동,동구 판암동,동구 삼정동,동구 용운동,동구 대동,동구 자양동,동구 신안동,동구 소제동,동구 가양동,동구 용전동,동구 성남동,동구 홍도동,동구 삼성동,동구 정동,동구 중동,동구 추동,동구 비룡동,동구 주산동,동구 용계동,동구 마산동,동구 효평동,동구 직동,동구 세천동,동구 신상동,동구 신하동,동구 신촌동,동구 사성동,동구 내탑동,동구 오동,동구 주촌동,동구 낭월동,동구 대별동,동구 이사동,동구 대성동,동구 장척동,동구 소호동,동구 구도동,동구 삼괴동,동구 상소동,동구 하소동,중구 은행동,중구 선화동,중구 목동,중구 중촌동,중구 대흥동,중구 문창동,중구 석교동,중구 호동,중구 옥계동,중구 대사동,중구 부사동,중구 용두동,중구 오류동,중구 태평동,중구 유천동,중구 문화동,중구 산성동,중구 사정동,중구 안영동,중구 무수동,중구 구완동,중구 침산동,중구 목달동,중구 정생동,중구 어남동,중구 금동,서구 복수동,서구 변동,서구 도마동,서구 정림동,서구 용문동,서구 탄방동,서구 괴정동,서구 가장동,서구 내동,서구 갈마동,서구 둔산동,서구 월평동,서구 가수원동,서구 도안동,서구 관저동,서구 흑석동,서구 매노동,서구 산직동,서구 장안동,서구 평촌동,서구 오동,서구 우명동,서구 원정동,서구 용촌동,서구 봉곡동,서구 괴곡동,서구 만년동,유성구 원내동,유성구 교촌동,유성구 대정동,유성구 용계동,유성구 학하동,유성구 계산동,유성구 성북동,유성구 세동,유성구 송정동,유성구 방동,유성구 봉명동,유성구 구암동,유성구 덕명동,유성구 원신흥동,유성구 상대동,유성구 복용동,유성구 장대동,유성구 갑동,유성구 노은동,유성구 지족동,유성구 죽동,유성구 궁동,유성구 어은동,유성구 구성동,유성구 신성동,유성구 가정동,유성구 도룡동,유성구 장동,유성구 방현동,유성구 화암동,유성구 덕진동,유성구 하기동,유성구 추목동,유성구 자운동,유성구 신봉동,유성구 수남동,유성구 안산동,유성구 외삼동,유성구 반석동,유성구 문지동,유성구 전민동,유성구 원촌동,유성구 탑립동,유성구 용산동,유성구 봉산동,유성구 관평동,유성구 송강동,유성구 금고동,유성구 대동,유성구 금탄동,유성구 신동,유성구 둔곡동,유성구 구룡동,대덕구 오정동,대덕구 대화동,대덕구 읍내동,대덕구 연축동,대덕구 신대동,대덕구 와동,대덕구 송촌동,대덕구 법동,대덕구 중리동,대덕구 비래동,대덕구 석봉동,대덕구 목상동,대덕구 문평동,대덕구 신일동,대덕구 덕암동,대덕구 상서동,대덕구 평촌동,대덕구 장동,대덕구 용호동,대덕구 이현동,대덕구 갈전동,대덕구 부수동,대덕구 황호동,대덕구 삼정동,대덕구 미호동,대덕구 신탄진동
동구 원동,40,95,28,60,85,18,173,3,177,154,160,9,31,211,117,105,53,134,26,22,2,2,0,0,0,1,1,4,3,0,0,0,0,0,0,32,3,9,29,1,1,5,1,1,2,60,147,23,101,246,96,0,18,29,121,0,0,54,35,46,97,42,7,1,0,0,0,0,0,0,0,20,13,48,13,12,50,19,11,10,28,85,26,8,7,15,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,0,0,1,0,0,0,0,23,3,4,1,4,2,9,0,10,3,3,4,1,3,2,0,15,2,0,0,0,1,0,1,2,0,0,0,0,0,6,1,0,2,1,5,4,0,0,0,0,0,0,87,19,11,3,3,2,40,32,51,39,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,5
동구 인동,94,247,35,79,387,52,282,2,250,167,167,31,70,270,139,70,70,63,119,104,1,1,2,0,0,0,0,4,2,0,0,1,0,0,0,42,22,0,44,0,0,6,0,0,3,192,159,14,50,499,68,0,21,38,169,0,0,101,35,78,132,41,6,9,1,0,0,0,0,0,0,12,24,30,19,44,142,40,8,19,52,244,49,9,4,52,0,0,0,0,0,0,0,0,0,0,0,12,5,0,1,1,0,0,0,0,0,0,41,11,0,7,2,2,7,0,11,11,2,8,1,3,1,7,9,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,2,9,3,10,2,0,0,0,1,0,0,83,24,9,1,5,1,75,49,91,62,11,1,0,1,1,1,1,0,0,0,0,0,0,0,0,19
동구 효동,43,22,34,31,207,18,106,2,124,90,48,5,14,92,37,37,27,21,54,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,2,31,0,0,4,0,0,0,65,38,13,11,161,33,0,17,31,39,0,0,38,17,27,43,12,9,1,0,0,0,0,0,0,0,8,3,11,3,8,25,19,4,1,18,66,25,3,3,11,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,9,1,0,2,1,2,1,0,0,5,1,3,0,10,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,13,2,0,2,2,2,0,0,0,0,0,0,0,60,16,1,0,0,1,28,13,20,26,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2
동구 천동,61,63,21,47,516,25,213,7,108,91,77,11,87,171,90,49,19,39,54,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,8,1,78,0,0,7,0,0,1,144,88,15,25,294,65,0,20,47,76,0,0,63,23,26,60,16,1,2,0,0,0,0,0,0,0,5,4,16,18,9,73,30,4,4,28,114,18,6,4,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,14,2,1,2,0,0,3,0,0,6,1,1,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,6,2,3,2,0,0,0,0,0,0,5,24,4,7,0,2,2,27,13,42,25,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0
동구 가오동,104,286,206,580,314,207,1246,14,809,370,259,32,227,410,236,140,114,108,215,122,2,11,1,0,1,0,0,14,1,2,1,0,0,0,0,803,88,23,335,0,1,60,5,12,12,300,203,44,63,675,377,0,106,330,205,0,0,158,54,129,226,64,18,13,0,0,0,1,0,0,0,39,23,76,19,56,150,88,37,32,128,370,81,28,22,88,0,0,0,0,0,0,0,0,0,0,0,30,12,1,2,0,1,5,0,0,0,0,76,11,2,16,13,4,15,0,5,13,7,8,5,0,2,1,23,2,0,0,0,4,0,0,1,0,0,0,8,3,19,0,1,3,4,21,2,0,0,0,0,0,0,155,23,23,2,2,3,105,64,144,113,5,2,1,4,9,1,1,0,0,0,0,0,0,0,1,16
동구 신흥동,39,36,15,56,288,34,185,2,196,85,109,5,74,194,69,48,30,43,24,28,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,3,0,29,0,0,2,0,0,0,74,60,12,30,211,58,0,12,13,84,0,0,51,15,24,56,11,2,2,0,0,0,0,0,0,0,15,9,25,9,17,24,15,7,5,22,105,17,4,3,13,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,15,3,0,2,0,0,5,0,2,1,1,6,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,3,0,25,8,5,1,3,3,42,22,55,51,2,0,0,1,1,4,1,0,0,0,0,0,0,0,0,1
동구 판암동,123,182,85,240,1401,154,711,30,1035,425,350,29,235,453,320,178,115,103,90,188,22,25,3,0,5,0,0,53,7,10,3,0,0,0,0,205,39,5,178,0,0,24,1,1,0,239,175,47,78,742,180,0,62,115,250,0,0,112,43,111,168,53,8,5,0,0,0,0,0,0,0,19,24,59,27,51,119,51,14,21,72,330,71,30,16,56,1,0,0,0,0,0,0,0,0,0,2,24,2,3,4,2,2,0,0,0,0,0,68,7,4,5,3,1,12,2,2,8,0,9,5,0,2,0,7,3,0,0,0,2,0,0,1,0,0,0,6,5,11,1,4,13,16,10,9,0,0,0,0,0,0,144,24,31,2,1,5,167,64,166,151,6,5,3,8,6,3,5,1,0,1,0,0,0,1,0,11
동구 삼정동,2,0,0,1,9,1,13,25,3,5,6,0,3,7,1,1,0,5,4,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
동구 용운동,110,157,113,143,872,140,833,16,1800,812,1000,28,1341,861,1543,257,181,179,121,256,1,5,0,0,0,0,0,12,2,2,2,0,0,0,0,88,14,0,110,0,0,19,1,0,0,805,293,55,100,1083,143,0,32,56,222,0,0,247,60,123,154,37,8,7,0,0,0,0,0,0,0,39,20,67,36,54,189,95,19,50,129,618,101,20,17,55,0,0,0,0,0,0,0,0,0,0,0,26,11,1,6,2,4,0,0,0,0,0,76,5,6,9,11,3,11,0,27,13,4,24,13,2,8,3,15,7,0,2,0,2,1,0,1,0,0,1,4,6,28,4,2,10,2,42,10,0,0,0,0,0,0,132,54,24,3,8,3,377,208,216,404,15,1,2,7,4,6,1,1,0,0,0,0,0,0,0,11
동구 대동,169,156,59,146,453,77,512,5,1060,319,561,28,398,970,627,263,195,199,86,129,1,2,0,0,0,0,0,6,0,1,0,0,0,0,0,70,9,0,86,0,0,5,2,0,0,509,334,57,131,943,161,0,50,65,167,0,0,161,73,97,158,56,22,2,0,0,0,0,0,0,0,25,16,57,16,47,166,72,16,39,118,459,94,25,16,58,0,0,0,1,0,0,0,0,0,0,1,37,7,0,4,8,1,1,0,0,0,0,73,7,12,7,10,3,12,0,2,14,4,14,9,0,2,2,7,5,0,0,0,2,0,0,6,0,2,0,2,12,22,1,5,6,6,25,5,0,0,0,0,0,0,139,29,29,2,4,3,227,108,202,216,16,3,6,2,9,16,2,0,0,0,0,0,0,0,0,12
