Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1453","11470",Sinan-dong,신안동,"8002115",36.331589999999998,127.440703999999997,"20, 317, 616, 62, 711"
"1454","45470",Shinan Ensvill Apts.,신안인스빌,"8005996",36.342506000000000,127.347009999999997,"114, 3"
"1455","45480",Shinan Ensvill Apts.,신안인스빌,"8005997",36.341732000000000,127.347570000000005,"114, 3"
"1456","72210",Sinyang 1(il)-ri,신양1리,"8005189",36.215927000000001,127.288799999999995,"21"
"1457","72220",Sinyang 1(il)-ri,신양1리,"8005190",36.216053000000002,127.288864000000004,"21"
"1458","72190",Sinyang 2(e)-ri,신양2리,"8005192",36.215750000000000,127.286749999999998,"21"
"1459","72200",Sinyang 2(e)-ri,신양2리,"8005191",36.215533999999998,127.286199999999994,"21"
"1460","72290",Sinyang 2(e)-ri,신양2리,"8003125",36.215682999999999,127.284355000000005,"21"
"1461","72300",Sinyang 2(e)-ri,신양2리,"8003126",36.215564999999998,127.284250000000000,"21"
"1462","72170",Sinyang 3(sam)-ri,신양3리,"8005193",36.218829999999997,127.279010000000000,"21"
"1463","72180",Sinyang 3(sam)-ri,신양3리,"8005194",36.218722999999997,127.278949999999995,"21"
"1464","72230",Sinyang-ri,신양리,"8005195",36.219040000000000,127.292349999999999,"21"
"1465","72240",Sinyang-ri,신양리,"8005196",36.219020000000000,127.292550000000006,"21"
"1466","10090",Sinin-dong Community Center,신인동주민센터,"8002482",36.323512999999998,127.437065000000004,"31, 313, 501, 511, 514, 60, 606, 607, 612, 62, 63, 802"
"1467","51880",Halla Climate Control Corporation,신일네거리,"8002907",36.436214000000000,127.406409999999994,"701, 712"
"1468","51890",Mando Machinery,신일네거리,"8001599",36.436484999999998,127.406509999999997,"701, 712"
"1469","13160",Sinjeongol,신절골,"8002122",36.365864000000002,127.503333999999995,"63"
"1470","13170",Sinjeolgol,신절골,"8002123",36.365699999999997,127.503370000000004,"62, 63"
"1471","13210",Sinchon-dong,신촌동,"8002125",36.372463000000003,127.509940000000000,"63"
"1472","13220",Sinchon-dong,신촌동,"8002124",36.372199999999999,127.510090000000005,"62, 63"
"1473","75220",Sinchon-ri,신촌리,"8005198",36.473750000000003,127.288345000000007,"661, 691, 75"
"1474","52100",Sintanjin I.C.,신탄중앙중학교,"8002137",36.441025000000003,127.424250000000001,"701, 705, 712, 72-1"
"1475","52110",Sintanjin I.C.,신탄중앙중학교,"8002138",36.441338000000002,127.424544999999995,"701, 705, 712, 72-1"
"1476","52880",Hanil Transport Corporation,신탄진26통,"8002958",36.444009999999999,127.433610000000002,"71-1, 71-2"
"1477","52890",Hanil Transport Corporation,신탄진26통,"8002957",36.443947000000001,127.433710000000005,"71-1, 71-2"
"1478","52930",Sintanjin High School,신탄진고등학교,"8002128",36.450535000000002,127.435159999999996,"711"
"1479","52940",Sintanjin High School,신탄진고등학교,"8002127",36.450073000000003,127.435419999999993,"711"
"1480","52820",Sintanjin Gantry,신탄진과선교,"8002129",36.442580000000000,127.429569999999998,"407, 71-1, 71-2, 712"
"1482","52840",Sintanjin-dong Community Center,신탄진동행정복지센터,"8002130",36.451459999999997,127.430374000000000,"71-1, 71-2, 711, 72-1, 72-2, 73"
"1483","52860",Sintanjin-dong Community Center,신탄진동행정복지센터,"8002959",36.451667999999998,127.430663999999993,"71-1, 71-2, 711, 72-1, 72-2, 73"
"1484","53350",Sintanjin-dong Community Center,신탄진동행정복지센터,"8007249",36.452824000000000,127.428550000000001,"300, 407, 705"
"1485","53360",Sintanjin-dong Community Center,신탄진동행정복지센터,"8007250",36.452038000000002,127.428889999999996,"300, 407, 705"
"1486","51700",Sintanjin Market,신탄진시장,"8002131",36.450221999999997,127.424430000000001,"2, 703, 704, 705, 711, 712, 72-2, 73, 75"
"1487","51710",Sintanjin Market,신탄진시장,"8002132",36.450474000000000,127.425030000000007,"2, 703, 704, 705, 711, 712, 72-2, 73, 75"
