,ARO_BUSSTOP_ID,BUSSTOP_ENG_NM,BUSSTOP_NM,BUS_NODE_ID,GPS_LATI,GPS_LONG,ROUTE_NO
837,['44070'],['Munji Samgeori(Intersection)'],['문지네거리'],['8001658'],['36.390724'],['127.4051'],"[' 1, 121, 705, 802, 918']"
838,['44060'],['Munji Elementary School Entrance'],['문지초등학교입구'],['8002207'],['36.396286'],['127.404785'],"[' 1, 121, 705, 802, 918']"
839,['20830'],['Munchang-dong/Bomungyo(Bridge)'],['문창동보문교'],['8001387'],['36.320675'],['127.4347'],"[' 119, 802']"
840,['23360'],['Munchang-dong'],['문창동보문교'],['8007007'],['36.32028'],['127.43418'],[' 802']
841,['20850'],['Munchang Market'],['문창시장'],['8001660'],['36.31454'],['127.43825'],"[' 501, 604, 618, 619']"
842,['20860'],['Munchang Market'],['문창시장'],['8001659'],['36.314327'],['127.43836'],"[' 119, 501, 604, 618, 619']"
843,['22010'],['Munhwa-dong'],['문화2동'],['8001662'],['36.3067'],['127.40576'],[' 311']
844,['22030'],['Munhwa 2(e)-dong'],['문화2동'],['8001661'],['36.307014'],['127.40628'],[' 311']
845,['21930'],['Munhwa-dong / Jugong Apts.3 Back Gate'],['문화동.주공3단지후문'],['8001663'],['36.310715'],['127.401436'],[' 311']
846,['22020'],['Munhwa-dong Samik Apts.'],['문화동삼익아파트'],['8005646'],['36.318707'],['127.406296'],"[' 311, 317, 33-1, 33-2, 513, 618']"
847,['21880'],['Munhwa Jugong Apts.'],['문화동주공아파트'],['8001664'],['36.31006'],['127.39845'],"[' 30, 313, 315']"
848,['21890'],['Munhwa Jugong Apts.'],['문화동주공아파트'],['8001665'],['36.31043'],['127.39953'],"[' 30, 313, 315']"
849,['21000'],['Chungnam National University Hospital Negeori(Intersection)'],['문화동하우스토리'],['8001356'],['36.31986'],['127.41597'],"[' 119, 30, 315']"
850,['21900'],['Munhwa Overpass'],['문화육교'],['8001666'],['36.312916'],['127.4001'],"[' 33-1, 33-2, 513, 615, 619']"
851,['21940'],['Munhwa Jugong Samgeori(Intersection)'],['문화주공삼거리'],['8001667'],['36.31089'],['127.40147'],[' 311']
852,['21830'],['Munhwa Elementary School'],['문화초등학교'],['8001669'],['36.31273'],['127.398796'],"[' 314, 318, 33-1, 33-2, 513, 615, 619']"
853,['21870'],['Munhwa Elementary School'],['문화초등학교'],['8001668'],['36.312126'],['127.39726'],"[' 314, 318, 33-1, 33-2, 513, 615, 619']"
854,['44340'],['Migun Techno World'],['미건테크노월드'],['8005552'],['36.422806'],['127.406654'],[' 701']
855,['44350'],['Migun Techno World'],['미건테크노월드'],['8005551'],['36.422634'],['127.40646'],"[' 1, 701']"
856,['10670'],['Mirinae Apts.'],['미리내아파트'],['8001670'],['36.31688'],['127.45562'],"[' 313, 514, 60, 604, 606, 607, 62, 63']"
857,['45780'],['Mihak Apts.'],['미학아파트'],['8003071'],['36.343277'],['127.30327'],"[' 113, 117']"
858,['82440'],['Mihak Apt.'],['미학아파트'],['8007023'],['36.34193'],['127.30295'],[' 3']
859,['82450'],['Mihak Apt.'],['미학아파트'],['8007230'],['36.34174'],['127.30312'],[' 3']
860,['52720'],['Army Rest Home'],['미호교'],['8003033'],['36.45997'],['127.46551'],"[' 72-1, 72-2, 73']"
861,['52730'],['Army Rest Home'],['미호교'],['8003034'],['36.45876'],['127.46551'],"[' 72-1, 72-2, 73']"
862,['40360'],['Jinmi Foods Corporation'],['밀머리네거리'],['8002670'],['36.324165'],['127.31174'],"[' 3, 704']"
863,['40370'],['Jinmi Foods Corporation'],['밀머리네거리'],['8002669'],['36.32413'],['127.3119'],"[' 3, 704']"
864,['13100'],['Bakkadagam'],['바깥아감'],['8001674'],['36.353897'],['127.49858'],[' 63']
865,['13110'],['Bakkadagam'],['바깥아감'],['8001673'],['36.35365'],['127.498795'],"[' 62, 63']"
866,['14410'],['Bakka-dagam'],['바깥아감'],['8007158'],['36.35206'],['127.49845'],[' 62']
867,['75480'],['Goraetteul'],['박산고개'],['8005057'],['36.47512'],['127.36253'],"[' 691, 75']"
868,['75490'],['Goraetteul'],['박산고개'],['8005056'],['36.475056'],['127.36248'],"[' 691, 75']"
869,['75460'],['Jakyakgol'],['박산리'],['8005237'],['36.4773'],['127.35442'],"[' 691, 75']"
870,['75470'],['Jakyakgol'],['박산리'],['8005236'],['36.477207'],['127.35461'],"[' 691, 75']"
871,['71080'],['Bakjeongja Samgeori(Intersection)'],['박정자삼거리'],['8005127'],['36.368614'],['127.25869'],"[' 107, 48']"
872,['71090'],['Bakjeongja Samgeori(Intersection)'],['박정자삼거리'],['8005128'],['36.36821'],['127.25863'],"[' 107, 48']"
873,['43880'],['Banseok 2(e)-tong'],['반석2통'],['8001676'],['36.390854'],['127.30856'],"[' 1002, 114']"
874,['43890'],['Banseok 2(e)-tong'],['반석2통'],['8001675'],['36.3903'],['127.30674'],"[' 1002, 114']"
875,['42300'],['Banseuk High School'],['반석고등학교'],['8005553'],['36.3887'],['127.312546'],"[' 114, 119']"
