,ARO_BUSSTOP_ID,BUSSTOP_ENG_NM,BUSSTOP_NM,BUS_NODE_ID,GPS_LATI,GPS_LONG,ROUTE_NO
0,['45320'],['DCC Terminal'],['DCC종점'],['8005925'],['36.37622'],['127.38975'],"[' 618, 911']"
1,['33220'],['GS Caltex Oil Reservoir'],['GS칼텍스저유소'],['8003046'],['36.295704'],['127.35677'],"[' 20, 21, 22, 23, 24, 25, 26']"
2,['44030'],['LG Chem/Research Park'],['KAIST문지캠퍼스'],['8002884'],['36.390175'],['127.40006'],"[' 1, 918']"
3,['53020'],['KT&G'],['KT&G'],['8001298'],['36.43789'],['127.427376'],[' 712']
4,['53240'],['KT&G Company Housing'],['KT&G사택'],['8007069'],['36.438187'],['127.432014'],[' 712']
5,['42970'],['KT&G Central Research Institute'],['KT&G연구소'],['8001299'],['36.3842'],['127.34731'],"[' 121, 606, 704, 912']"
6,['42971'],['KT&G Central Research Institute1'],['KT&G연구소'],['8081299'],['36.38403'],['127.34612'],[' 1']
7,['43400'],['Bukdaejeon Telephone Office'],['KT북대전지사'],['8001795'],['36.384598'],['127.36157'],"[' 121, 604, 606, 704, 912']"
8,['31390'],['Seodaejeon Telephone Office Entrance'],['KT서대전지사입구'],['8001941'],['36.337757'],['127.384514'],"[' 602, 603']"
9,['31400'],['Seodaejeon Telephone Office Entrance'],['KT서대전지사입구'],['8001942'],['36.338528'],['127.38518'],[' 602']
10,['31410'],['Goejeong-dong Woochang company'],['KT서대전지사입구'],['8005917'],['36.33732'],['127.38597'],[' 603']
11,['31340'],['KT Human Resource Development Center'],['KT인재개발원'],['8003044'],['36.33873'],['127.37544'],"[' 103, 113, 602']"
12,['31350'],['KT Human Resource Development Center'],['KT인재개발원'],['8003043'],['36.33853'],['127.376175'],"[' 103, 113, 602']"
13,['43410'],['LG Household and Health Care R&D Center'],['LG생활건강기술연구원'],['8003045'],['36.38482'],['127.36226'],"[' 121, 604, 606, 704, 912']"
14,['44020'],['LG Chem/Research Park'],['LG화학기술연구원'],['8002885'],['36.390236'],['127.39686'],"[' 1, 918']"
15,['44130'],['Institute of Water and Environment'],['LH연구원'],['8002074'],['36.40469'],['127.397675'],"[' 1, 121']"
16,['44140'],['Water Resources Corporation'],['LH연구원'],['8002071'],['36.40553'],['127.39795'],"[' 705, 802']"
17,['44150'],['Water Resources Corporation'],['LH연구원'],['8002072'],['36.40562'],['127.39795'],"[' 705, 802']"
18,['43320'],['MBC'],['MBC/TJB방송국'],['8003047'],['36.374596'],['127.394844'],"[' 121, 705']"
19,['43330'],['MBC'],['MBC/TJB방송국'],['8003048'],['36.374832'],['127.395134'],"[' 121, 705']"
20,['43130'],['Daedeok Innopolis Police Box'],['SK뷰아파트'],['8001330'],['36.38554'],['127.37578'],"[' 318, 606']"
21,['32220'],['SK Broadband'],['SK브로드밴드'],['8002851'],['36.351147'],['127.38076'],"[' 104, 106, 316, 617, 703, 911']"
22,['13430'],['Nangwol Samgeori(Intersection)'],['e편한세상아파트'],['8001254'],['36.281143'],['127.46756'],"[' 108, 30, 501, 511, 512, 513, 514, 52, 620']"
23,['13440'],['Nangwol Samgeori(Intersection)'],['e편한세상아파트'],['8001253'],['36.280586'],['127.46806'],"[' 108, 30, 501, 511, 512, 513, 514, 52, 620']"
24,['31220'],['Tanbang Jugong Apts.'],['e편한세상아파트'],['8002761'],['36.34129'],['127.396805'],"[' 602, 916']"
25,['31230'],['Tanbang Jugong Apts.'],['e편한세상아파트'],['8002762'],['36.341175'],['127.397224'],"[' 602, 916']"
26,['44120'],['Water Resources Corporation Training Institute'],['k-water인재개발원'],['8002073'],['36.405052'],['127.397545'],"[' 1, 121']"
27,['12740'],['Ganeungol'],['가는골'],['8001004'],['36.33526'],['127.48288'],"[' 607, 62']"
28,['12750'],['Ganeungol'],['가는골'],['8001003'],['36.335037'],['127.48285'],"[' 607, 62']"
29,['14370'],['Agibatgol '],['가는골입구'],['8007043'],['36.330944'],['127.486'],[' 63']
30,['14380'],['Agibatgol '],['가는골입구'],['8007044'],['36.331093'],['127.48584'],[' 63']
31,['32650'],['Garam Apts.'],['가람아파트'],['8001005'],['36.357365'],['127.39595'],"[' 102, 105, 316, 605, 606, 617, 703, 706']"
32,['14000'],['Gamokjeong Village'],['가목정마을'],['8001006'],['36.210876'],['127.438705'],[' 501']
33,['14010'],['Gamokjeong Village'],['가목정마을'],['8001007'],['36.210796'],['127.43885'],[' 501']
34,['30800'],['Jeongnim Samgeori(Intersection)'],['가수원교'],['8002546'],['36.30735'],['127.36226'],"[' 115, 20, 201, 202, 21, 211, 216, 22, 23, 24, 25, 26, 41, 42, 43, 46, 47-1']"
35,['33200'],['Gasuwongyo(Bridge)'],['가수원네거리'],['8001009'],['36.305706'],['127.35625'],"[' 115, 20, 201, 202, 21, 211, 216, 22, 23, 24, 25, 26, 41, 42, 43, 46, 47-1']"
36,['34930'],['Gasuwon Police Box'],['가수원네거리'],['8003053'],['36.30549'],['127.35399'],"[' 115, 47-1']"
37,['33020'],['Gasuwon Public Library'],['가수원도서관'],['8001018'],['36.301926'],['127.34997'],[' 21']
38,['33030'],['Gasuwon Public Library'],['가수원도서관'],['8001017'],['36.30203'],['127.35014'],[' 21']
39,['33080'],['Gasuwon-dong'],['가수원동'],['8001019'],['36.300083'],['127.35158'],[' 21']
40,['33090'],['Gasuwon'],['가수원동'],['8001008'],['36.300232'],['127.35168'],[' 21']
41,['33120'],['Gasuwon Negeori(Intersection)'],['가수원시장'],['8001011'],['36.304085'],['127.353516'],"[' 20, 212, 22, 23, 24, 25, 26']"
42,['33140'],['Gasuwon Negeori(Intersection)'],['가수원시장'],['8001012'],['36.30414'],['127.353745'],"[' 20, 22, 23, 24, 25, 26']"
43,['33180'],['Gasuwon  Station'],['가수원역'],['8001026'],['36.2986'],['127.35589'],"[' 20, 212, 22, 23, 24, 25, 26']"
44,['33190'],['Gasuwon  Station'],['가수원역'],['8001027'],['36.299187'],['127.35597'],"[' 20, 212, 22, 23, 24, 25, 26']"
45,['33040'],['Gasuwon  Overpass'],['가수원육교.가수원시장'],['8001028'],['36.30469'],['127.350845'],"[' 1, 114, 2002, 201, 202, 211, 212, 216, 3, 41, 42, 43, 46, 47-1']"
46,['33070'],['Gasuwon  Overpass'],['가수원육교.가수원시장'],['8001029'],['36.30447'],['127.35135'],"[' 1, 2002, 201, 202, 21, 211, 212, 216, 41, 42, 43, 46, 47-1']"
47,['33130'],['Gasuwon  Middle School'],['가수원중학교'],['8001030'],['36.298244'],['127.353745'],[' 21']
48,['33150'],['Gasuwon  Middle School'],['가수원중학교'],['8001031'],['36.298344'],['127.35392'],[' 21']
49,['33100'],['Gasuwon Negeori(Intersection)'],['가수원파출소'],['8001014'],['36.307655'],['127.35208'],"[' 114, 115, 3']"
50,['34870'],['Gasuwon Negeori(Intersection)'],['가수원파출소'],['8001013'],['36.30679'],['127.35274'],"[' 114, 115, 3']"
51,['11540'],['Gayang Negeori(Intersection)'],['가양네거리'],['8001035'],['36.346535'],['127.444756'],"[' 102, 605, 802']"
52,['11550'],['Gayang Negeori(Intersection)'],['가양네거리'],['8001036'],['36.34641'],['127.445335'],"[' 102, 105, 106, 605, 802']"
53,['11580'],['Gayang Negeori(Intersection)'],['가양네거리'],['8001034'],['36.34603'],['127.44739'],"[' 103, 105, 106, 613, 620']"
54,['11520'],['Hankook Cosmetics'],['가양도서관'],['8002899'],['36.348995'],['127.443214'],"[' 102, 105, 106, 605, 802']"
55,['11530'],['Hankook Cosmetics'],['가양도서관'],['8002898'],['36.348614'],['127.443924'],"[' 102, 105, 106, 605, 802']"
56,['11570'],['Gayang Police Box'],['가양동우체국'],['8001040'],['36.346153'],['127.44707'],"[' 103, 105, 106, 613, 620']"
57,['51620'],['Gayangbirae Park'],['가양비래공원'],['8001033'],['36.357056'],['127.453514'],"[' 103, 106, 311, 613, 620']"
58,['51640'],['Gayangbirae Park'],['가양비래공원'],['8001032'],['36.356636'],['127.45445'],"[' 103, 105, 106, 311, 613, 620']"
59,['53510'],['---'],['가양비래공원네거리'],['8007413'],['36.355076'],['127.45628'],[' 66']
60,['53520'],['---'],['가양비래공원네거리'],['8007414'],['36.35535'],['127.45651'],[' 66']
61,['51010'],['Gayang Middle School Entrance'],['가양중학교입구'],['8001039'],['36.352158'],['127.443'],"[' 201, 501, 601, 602, 607, 616, 622']"
62,['11500'],['Gayang Elementary School'],['가양초등학교'],['8001228'],['36.343613'],['127.44162'],"[' 605, 613, 620, 802']"
63,['11510'],['Gayang Elementary School'],['가양초등학교'],['8001229'],['36.344067'],['127.443184'],"[' 605, 613, 620, 802']"
64,['14340'],['Gao High School'],['가오고등학교'],['8007017'],['36.309856'],['127.45482'],"[' 512, 52']"
65,['14350'],['Gao High School'],['가오고등학교'],['8007018'],['36.309402'],['127.45509'],"[' 512, 52']"
66,['10290'],['Gao-dong'],['가오동'],['8001045'],['36.308155'],['127.44981'],[' 52']
67,['10300'],['Gao-dong'],['가오동'],['8001044'],['36.308857'],['127.450066'],"[' 31, 511, 512, 618']"
68,['10310'],['Gao-dong'],['가오동'],['8001043'],['36.308'],['127.45078'],"[' 31, 511, 618']"
69,['14360'],['Gao-dong'],['가오동'],['8007070'],['36.308586'],['127.45133'],"[' 512, 52']"
70,['10360'],['Euneosongmaeul Apts. Entrance'],['가오동네거리'],['8002440'],['36.30556'],['127.454636'],"[' 52, 618']"
71,['10370'],['Euneosongmaeul Apts. Entrance'],['가오동네거리'],['8002441'],['36.30542'],['127.4548'],"[' 52, 618']"
72,['10320'],['Gao Jugong Apts.'],['가오주공아파트'],['8001048'],['36.30562'],['127.45257'],"[' 31, 511, 618']"
73,['10330'],['Gao Jugong Apts.'],['가오주공아파트'],['8001047'],['36.30534'],['127.45268'],"[' 31, 511, 618']"
74,['31530'],['Gajanggyo(Bridge)'],['가장교'],['8001050'],['36.32862'],['127.38745'],"[' 103, 316, 603, 617']"
75,['31540'],['Gajanggyo(Bridge)'],['가장교'],['8001049'],['36.328773'],['127.387726'],"[' 103, 316, 603']"
76,['34830'],['Gajanggyo Ogeori(Intersection)'],['가장교오거리'],['8070005'],['36.327843'],['127.38591'],[' 601']
77,['34840'],['Gajanggyo Ogeori(Intersection)'],['가장교오거리'],['8070006'],['36.328114'],['127.386246'],"[' 601, 617']"
78,['31480'],['Gajang Negeori(Intersection)'],['가장네거리'],['8001052'],['36.330547'],['127.38509'],"[' 103, 316, 603, 617']"
79,['31500'],['Gajang Negeori(Intersection)'],['가장네거리'],['8001051'],['36.330746'],['127.38534'],"[' 103, 316, 603']"
80,"['31470', '31470']","['Gajang Jeil Church', 'Gajang Jaeil Presbyterian Church']","['가장제일장로교회', '가장제일장로교회']","['8005919', '9005919']","['36.328568', '36.3286']","['127.38338', '127.38244']","[' 617, 617', ' 617']"
81,['5945'],['Gawa-ri'],['가화리'],['8005945'],['36.30448'],['127.56363'],[' 607']
82,['62430'],['---'],['가화리'],['8007454'],['36.304497'],['127.563866'],[' 607']
83,['31950'],['Galma 2(e)-dong Community Center'],['갈마2동주민센터'],['8001055'],['36.345707'],['127.37466'],"[' 203, 216, 301']"
84,['31750'],['Galma 1(il)-dong Community Center'],['갈마네거리'],['8001054'],['36.353497'],['127.36766'],"[' 101, 103, 105, 107, 116, 3']"
85,['31770'],['Galma Negeori(Intersection)'],['갈마네거리'],['8001056'],['36.353638'],['127.36853'],"[' 101, 103, 105, 107, 116, 119, 3, 312']"
86,['31800'],['Galma 1(il)-dong Community Center'],['갈마네거리'],['8001053'],['36.353092'],['127.36841'],"[' 119, 312']"
87,['31730'],['Galma Public Library'],['갈마도서관'],['8001057'],['36.34145'],['127.366425'],"[' 119, 312, 617']"
88,['31830'],['Galma Samgeori(Intersection)'],['갈마삼거리'],['8001058'],['36.350174'],['127.369064'],"[' 103, 113, 602, 605, 617']"
89,['31740'],['Galma Apts.'],['갈마아파트2단지'],['8001060'],['36.342327'],['127.36717'],"[' 119, 312, 605, 613, 617']"
90,"['31880', '31880']","['Galma Apts.', 'Galma Apts.']","['갈마아파트3단지', '갈마아파트3단지']","['8001059', '9001059']","['36.342495', '36.341507']","['127.37112', '127.37227']","[' 605, 613, 602, 605, 613', ' 605, 613']"
91,['31920'],['Galma Station'],['갈마역'],['8005517'],['36.35751'],['127.37318'],[' 102']
92,['31940'],['Galma Station'],['갈마역'],['8001061'],['36.356583'],['127.37412'],"[' 104, 106, 911']"
93,['32870'],['Galma Station'],['갈마역'],['8005518'],['36.357872'],['127.372314'],[' 102']
94,['31900'],['Galma Overpass'],['갈마육교'],['8001063'],['36.351265'],['127.37132'],"[' 101, 105, 107, 116, 3, 605, 617']"
95,['31910'],['Galma Overpass'],['갈마육교'],['8001062'],['36.351414'],['127.37198'],"[' 101, 105, 107, 116, 3']"
96,['31760'],['Galma Middle School Entrance'],['갈마중학교입구'],['8001204'],['36.349384'],['127.36812'],"[' 119, 312']"
97,['31790'],['Galma Middle School Entrance'],['갈마중학교입구'],['8001205'],['36.34949'],['127.368454'],"[' 119, 312']"
98,['31820'],['Galma Elementary School'],['갈마초등학교'],['8001065'],['36.35462'],['127.36907'],"[' 113, 602']"
99,['31860'],['Galma Elementary School'],['갈마초등학교'],['8001064'],['36.35438'],['127.36934'],"[' 113, 602']"
100,['52600'],['Galjeon-dong'],['갈전동'],['8001067'],['36.42773'],['127.465805'],"[' 71-1, 71-2']"
101,['52610'],['Galjeon-dong'],['갈전동'],['8001066'],['36.427624'],['127.465836'],"[' 71-1, 71-2']"
102,['40650'],['Gamgol'],['감골'],['8001069'],['36.304764'],['127.271416'],[' 42']
103,['40660'],['Gamgol'],['감골'],['8001068'],['36.304787'],['127.27153'],[' 42']
104,['14440'],['---'],['감나무골입구'],['8007170'],['36.28203'],['127.45755'],"[' 30, 31']"
105,['14450'],['---'],['감나무골입구'],['8007171'],['36.282116'],['127.457695'],"[' 30, 31']"
106,['42170'],['Gap-dong'],['갑동'],['8001071'],['36.36042'],['127.28859'],"[' 107, 48']"
107,['42180'],['Gap-dong'],['갑동'],['8001070'],['36.3606'],['127.28879'],"[' 107, 48']"
108,['32700'],['Gapcheon Station'],['갑천역'],['8005519'],['36.3551'],['127.355064'],[' 911']
109,['32710'],['Gapcheon Station'],['갑천역'],['8005520'],['36.35448'],['127.35472'],[' 911']
110,['34680'],['Gangbyeon Apts.'],['강변아파트'],['8001073'],['36.36743'],['127.37552'],[' 514']
111,['31050'],['Gaenari Apt.'],['개나리아파트'],['8001074'],['36.34336'],['127.38314'],"[' 101, 104, 105, 107, 211, 315, 316, 318, 604, 618, 703, 706']"
112,['32040'],['Galleria Timeworld Department Store'],['갤러리아타임월드'],['8001077'],['36.351944'],['127.376976'],"[' 104, 106, 911']"
113,['32050'],['Galleria Timeworld Department Store'],['갤러리아타임월드'],['8001076'],['36.351604'],['127.376976'],"[' 104, 106, 911']"
114,['32120'],['Galleria Timeworld Department Store'],['갤러리아타임월드'],['8001078'],['36.35272'],['127.37907'],"[' 116, 203, 211, 216, 3, 301, 315, 318, 604, 605, 706']"
115,['32990'],['Konyang University Hospital'],['건양대병원'],['8001079'],['36.30686'],['127.34085'],"[' 114, 201, 203, 213, 45, 47']"
116,['33560'],['Konyang University Hospital Negeori(Intersection)'],['건양대병원네거리'],['8001083'],['36.30251'],['127.33986'],"[' 1, 2002, 202, 211, 216, 3, 41, 42, 43, 46']"
117,['33590'],['Konyang University Hospital Negeori(Intersection)'],['건양대병원네거리'],['8001080'],['36.30139'],['127.34061'],"[' 114, 201, 203, 212, 45, 47, 47-1']"
118,['33620'],['Konyang University Hospital Negeori(Intersection)'],['건양대병원네거리'],['8001082'],['36.30295'],['127.34154'],"[' 114, 201']"
119,['33630'],['Konyang University Hospital Negeori(Intersection)'],['건양대병원네거리'],['8001081'],['36.30292'],['127.34336'],"[' 1, 114, 2002, 201, 202, 211, 212, 216, 3, 41, 42, 43, 46, 47-1']"
120,['72440'],['---'],['검천리'],['8007424'],['36.176003'],['127.29479'],[' 21']
121,['72450'],['---'],['검천리'],['8007425'],['36.17606'],['127.29485'],[' 21']
122,['30370'],['Paichai University'],['경남아파트'],['8005947'],['36.322433'],['127.36838'],[' 612']
123,['30400'],['Gyeongnam Apts.'],['경남아파트'],['8005948'],['36.32261'],['127.369026'],[' 612']
124,['30450'],['Gyeongnam Apts.'],['경남아파트'],['8001084'],['36.32058'],['127.37065'],"[' 216, 301, 312, 916']"
125,"['40980', '40980']","['Dugye Samgeori(Intersection)', 'Dugye Samgeori(Intersection)']","['계룡과선교', '계룡과선교']","['8001558', '8005961']","['36.267704', '36.266254']","['127.27868', '127.281075']","[' 42, 46', ' 42, 46, 43, 45, 47, 47-1']"
126,['40990'],['Dugye Samgeori(Intersection)'],['계룡과선교'],['8001559'],['36.26632'],['127.28078'],"[' 2002, 202, 43, 45, 47, 47-1']"
127,['45980'],['Dugye Samgeori(Intersection)'],['계룡과선교'],['8001557'],['36.26698'],['127.28032'],"[' 42, 46']"
128,['12340'],['Gyeryong Technical High School Entrance'],['계룡디지텍고입구'],['8001090'],['36.33935'],['127.433395'],"[' 201, 202, 317, 501, 60, 611, 613, 620, 622, 63, 802']"
129,['46210'],['---'],['계룡리슈빌아파트'],['8007166'],['36.385616'],['127.30856'],"[' 1002, 114']"
130,['73050'],['Gyeryong City Hall / Health Center'],['계룡시보건소'],['8005051'],['36.272232'],['127.25046'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
131,['73100'],['Gyeryong City Hall / Health Center'],['계룡시보건소'],['8005973'],['36.27241'],['127.25042'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
132,['73950'],['Gyeryong Election Commission'],['계룡시선거관리위원회'],['8005634'],['36.271793'],['127.25477'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
133,['73960'],['Gyeryong Election Commission'],['계룡시선거관리위원회'],['8005635'],['36.271435'],['127.25485'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
134,['73090'],['Gyeryong City Hall'],['계룡시청'],['8005049'],['36.27436'],['127.25168'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
135,['73800'],['Gyeryong City Hall'],['계룡시청'],['8005048'],['36.273994'],['127.251724'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
136,['30020'],['Hyechon College'],['계룡아파트'],['8002978'],['36.305378'],['127.37292'],"[' 216, 916']"
137,['73460'],['Gyeryong Station'],['계룡역'],['8005053'],['36.272263'],['127.26577'],"[' 100, 2002, 202, 300, 45, 47, 47-1, 48']"
138,['73820'],['Gyeryong Station'],['계룡역'],['8007254'],['36.273308'],['127.26437'],"[' 100, 2002, 202, 300, 45, 47, 47-1']"
139,['40490'],['Gyesan-dong'],['계산동'],['8001093'],['36.325844'],['127.311424'],"[' 3, 704']"
140,['40500'],['Gyesan-dong'],['계산동'],['8001092'],['36.32584'],['127.31161'],"[' 3, 704']"
141,['5648'],['Godo-ri'],['고도리'],['8005648'],['36.21581'],['127.27078'],[' 21']
142,['5649'],['Godo-ri'],['고도리'],['8005649'],['36.21577'],['127.27061'],[' 21']
143,['34500'],['Goegok Gantry'],['고릿골구름다리'],['8001127'],['36.28589'],['127.35225'],"[' 20, 21, 22, 23, 24, 25, 26']"
144,['34510'],['Goegok Gantry'],['고릿골구름다리'],['8001126'],['36.285625'],['127.352394'],"[' 20, 21, 22, 23, 24, 25, 26']"
145,['13620'],['Gosansa(Temp.) Entrance'],['고산사입구'],['8001094'],['36.296646'],['127.46001'],"[' 31, 511, 512, 514, 52']"
146,['13630'],['Gosansa(Temp.) Entrance'],['고산사입구'],['8001095'],['36.2969'],['127.460045'],"[' 31, 511, 512, 514, 52']"
147,['74460'],['Gongnam-ri Terminal'],['곡남리종점'],['8005059'],['36.1628'],['127.397934'],[' 34']
148,['74470'],['Gongnam-ri Terminal'],['곡남리종점'],['8005060'],['36.163036'],['127.39828'],[' 34']
149,['74550'],['Gongnam Samgeori(Intersection)'],['곡남삼거리'],['8005061'],['36.15947'],['127.39726'],[' 34']
150,['74560'],['Gongnam Samgeori(Intersection)'],['곡남삼거리'],['8005062'],['36.159298'],['127.39735'],[' 34']
151,['50400'],['Tool Store'],['공구백화점'],['8001099'],['36.366196'],['127.40275'],"[' 316, 616']"
152,['50410'],['Tool Store'],['공구백화점'],['8001098'],['36.365883'],['127.403076'],"[' 316, 616']"
153,['30380'],['Gongguran'],['공굴안'],['8001101'],['36.313496'],['127.36893'],"[' 216, 301, 916']"
154,['30390'],['Gongguran'],['공굴안'],['8001100'],['36.313366'],['127.369095'],"[' 216, 301, 916']"
155,['43150'],['Gongdonggwanri Apts.'],['공동관리아파트'],['8001102'],['36.382385'],['127.37842'],"[' 301, 318, 5, 606, 918']"
156,['43180'],['Gongdonggwanri Apts.'],['공동관리아파트'],['8001103'],['36.382217'],['127.37878'],"[' 301, 318, 5, 606, 918']"
157,['31190'],['Gongjak Apts.'],['공작아파트'],['8001109'],['36.348274'],['127.39498'],"[' 105, 706, 911']"
158,['13880'],['Gongju Village'],['공주마을'],['8001110'],['36.252056'],['127.47736'],"[' 501, 52']"
159,['13890'],['Gongju Village'],['공주마을'],['8001111'],['36.252087'],['127.47752'],"[' 501, 52']"
160,['22160'],['Gwarye Village'],['과례마을'],['8005526'],['36.311428'],['127.410805'],[' 317']
161,['22170'],['Gwarye Village'],['과례마을'],['8001112'],['36.31142'],['127.41096'],[' 317']
162,['33460'],['Sinseonam'],['관저2동행정복지센터'],['8002108'],['36.299694'],['127.334946'],"[' 211, 213, 216']"
163,['33440'],['Gwanjeo Gas Station'],['관저네거리'],['8001116'],['36.301777'],['127.3347'],"[' 2002, 202, 41, 42, 43, 46']"
164,['33470'],['Gwanjeo Underpass'],['관저네거리'],['8001118'],['36.30123'],['127.33591'],"[' 2002, 202, 211, 216, 41, 42, 43, 46']"
165,['35570'],['---'],['관저더샵1단지'],['8007405'],['36.29383'],['127.32778'],"[' 212, 213']"
166,['35560'],['---'],['관저더샵2단지'],['8007406'],['36.293602'],['127.32749'],"[' 212, 213']"
167,['35520'],['---'],['관저동예미지아파트'],['8007396'],['36.29205'],['127.33374'],"[' 203, 212']"
168,['35530'],['---'],['관저동예미지아파트'],['8007397'],['36.2924'],['127.33312'],"[' 203, 212, 213']"
169,['33600'],['Gwanjeo Middle School'],['관저중학교'],['8001117'],['36.305386'],['127.340645'],"[' 114, 201, 203, 213']"
170,['33480'],['Gwanjeo Underpass'],['관저지하차도'],['8001115'],['36.30181'],['127.33657'],"[' 211, 216, 41, 42, 43, 46']"
171,['35270'],['---'],['관저체육공원'],['8007287'],['36.29238'],['127.33737'],"[' 203, 212']"
172,['44550'],['Gwanpyeong Middle School'],['관평중학교'],['8001556'],['36.423775'],['127.38831'],"[' 1, 301, 704, 705, 712, 802']"
173,['44560'],['Donghwa Middle School'],['관평중학교'],['8001555'],['36.42417'],['127.38874'],"[' 1, 301, 704, 705, 712, 802']"
174,['34530'],['Goegok-dong / Gorigol'],['괴곡동.고리골'],['8001128'],['36.288486'],['127.35376'],"[' 20, 21, 22, 23, 24, 25, 26']"
175,['34540'],['Goegok-dong / Gorigol'],['괴곡동.고리골'],['8001129'],['36.288364'],['127.35451'],"[' 20, 21, 22, 23, 24, 25, 26']"
176,['31360'],['Goejeong Negeori(Intersection)'],['괴정네거리'],['8001132'],['36.33615'],['127.37896'],"[' 103, 113, 602']"
177,['31670'],['Goejeong Negeori(Intersection)'],['괴정네거리'],['8001133'],['36.335934'],['127.37874'],"[' 103, 113, 602']"
178,['31680'],['Goejeong Negeori(Intersection)'],['괴정네거리'],['8001130'],['36.333572'],['127.379105'],[' 603']
179,['31690'],['Goejeong Negeori(Intersection)'],['괴정네거리'],['8001131'],['36.33397'],['127.379814'],[' 603']
180,['31370'],['Goejeong-dong Community Center'],['괴정동주민센터'],['8001134'],['36.33602'],['127.38197'],"[' 602, 603']"
181,['31380'],['Goejeong-dong Community Center'],['괴정동주민센터'],['8001135'],['36.336185'],['127.3825'],"[' 602, 603']"
182,['40350'],['Prison'],['교도소'],['8001136'],['36.31144'],['127.325195'],[' 212']
183,['40240'],['Prison Entrance'],['교도소입구'],['8001138'],['36.308952'],['127.31843'],"[' 211, 212, 3, 704']"
184,['40250'],['Prison Entrance'],['교도소입구'],['8001137'],['36.30974'],['127.31823'],"[' 211, 212, 3, 704']"
185,['40300'],['Gyochon 3(sam)-tong'],['교촌3통'],['8001140'],['36.31188'],['127.31859'],"[' 211, 212, 3, 704']"
186,['40310'],['Gyochon 3(sam)-tong'],['교촌3통'],['8001141'],['36.312122'],['127.31857'],"[' 211, 212, 704']"
187,['82110'],['Gyochon-dong'],['교촌동'],['8005711'],['36.311394'],['127.31724'],[' 3']
188,['40040'],['Gyochon Elementary School'],['교촌초등학교'],['8002674'],['36.30332'],['127.31658'],"[' 211, 212, 3, 704']"
189,['40050'],['Gyochon Elementary School'],['교촌초등학교'],['8002673'],['36.303165'],['127.316635'],"[' 211, 212, 3, 704']"
190,['30660'],['Nongdowon'],['구농도원'],['8001276'],['36.31997'],['127.3776'],"[' 113, 119, 211, 619, 703']"
191,['30670'],['Nongdowon'],['구농도원'],['8001277'],['36.320915'],['127.378'],"[' 113, 119, 211, 619, 703']"
192,['30680'],['Nongdowon Negeori(Intersection)'],['구농도원네거리'],['8001279'],['36.317562'],['127.37806'],"[' 113, 119, 211, 312, 619, 703']"
193,['30690'],['Nongdowon Negeori(Intersection)'],['구농도원네거리'],['8001278'],['36.31752'],['127.37843'],"[' 113, 119, 211, 312, 619, 703']"
194,['13800'],['Gudo-dong Terminal'],['구도동'],['8001145'],['36.273685'],['127.47303'],"[' 501, 52']"
195,['13810'],['Gudo-dong'],['구도동'],['8001144'],['36.273636'],['127.47339'],"[' 501, 52']"
196,['74270'],['Gurye1(il)-ri'],['구례1리'],['8005070'],['36.201187'],['127.37899'],[' 34']
197,['74280'],['Gurye1(il)-ri'],['구례1리'],['8005071'],['36.201374'],['127.379135'],[' 34']
198,['74300'],['Gurye2(e)-ri'],['구례2리'],['8005073'],['36.203873'],['127.379395'],[' 34']
199,['74310'],['Gurye2(e)-ri'],['구례2리'],['8005072'],['36.203876'],['127.37959'],[' 34']
200,['74320'],['Gurye 3(sam)-ri'],['구례3리'],['8005075'],['36.197037'],['127.381905'],[' 34']
201,['74330'],['Gurye 3(sam)-ri'],['구례3리'],['8005074'],['36.19633'],['127.38252'],[' 34']
202,['45210'],['Guryong'],['구룡'],['8001146'],['36.44605'],['127.36842'],"[' 661, 72-1, 72-2']"
203,['45220'],['Guryong'],['구룡'],['8001147'],['36.446117'],['127.36868'],"[' 661, 72-1, 72-2']"
204,['45180'],['Guryong 2(e)-tong'],['구룡2통'],['8001151'],['36.45082'],['127.36266'],"[' 661, 72-1, 72-2']"
205,['45190'],['Guryong 2(e)-tong'],['구룡2통'],['8001148'],['36.44728'],['127.365364'],"[' 661, 72-1, 72-2']"
206,['45200'],['Guryong 2(e)-tong'],['구룡2통'],['8001149'],['36.44708'],['127.36545'],"[' 661, 72-1, 72-2']"
207,['35440'],['---'],['구만리'],['8007386'],['36.262432'],['127.30081'],[' 23']
208,['35450'],['---'],['구만리'],['8007387'],['36.26258'],['127.30047'],[' 23']
209,['74230'],['Guman-ri'],['구만리'],['8005077'],['36.261517'],['127.37793'],[' 34']
210,['74250'],['Guman-ri'],['구만리'],['8005076'],['36.261295'],['127.37803'],[' 34']
211,['35310'],['---'],['구봉고등학교'],['8007363'],['36.294853'],['127.33025'],[' 203']
212,['35320'],['---'],['구봉고등학교'],['8007364'],['36.29447'],['127.3305'],[' 203']
