승차지역,동구 원동,동구 인동,동구 효동,동구 천동,동구 가오동,동구 신흥동,동구 판암동,동구 삼정동,동구 용운동,동구 대동,동구 자양동,동구 신안동,동구 소제동,동구 가양동,동구 용전동,동구 성남동,동구 홍도동,동구 삼성동,동구 정동,동구 중동,동구 추동,동구 비룡동,동구 주산동,동구 용계동,동구 마산동,동구 효평동,동구 직동,동구 세천동,동구 신상동,동구 신하동,동구 신촌동,동구 사성동,동구 내탑동,동구 오동,동구 주촌동,동구 낭월동,동구 대별동,동구 이사동,동구 대성동,동구 장척동,동구 소호동,동구 구도동,동구 삼괴동,동구 상소동,동구 하소동,중구 은행동,중구 선화동,중구 목동,중구 중촌동,중구 대흥동,중구 문창동,중구 석교동,중구 호동,중구 옥계동,중구 대사동,중구 부사동,중구 용두동,중구 오류동,중구 태평동,중구 유천동,중구 문화동,중구 산성동,중구 사정동,중구 안영동,중구 무수동,중구 구완동,중구 침산동,중구 목달동,중구 정생동,중구 어남동,중구 금동,서구 복수동,서구 변동,서구 도마동,서구 정림동,서구 용문동,서구 탄방동,서구 괴정동,서구 가장동,서구 내동,서구 갈마동,서구 둔산동,서구 월평동,서구 가수원동,서구 도안동,서구 관저동,서구 흑석동,서구 매노동,서구 산직동,서구 장안동,서구 평촌동,서구 오동,서구 우명동,서구 원정동,서구 용촌동,서구 봉곡동,서구 괴곡동,서구 만년동,유성구 원내동,유성구 교촌동,유성구 대정동,유성구 용계동,유성구 학하동,유성구 계산동,유성구 성북동,유성구 세동,유성구 송정동,유성구 방동,유성구 봉명동,유성구 구암동,유성구 덕명동,유성구 원신흥동,유성구 상대동,유성구 복용동,유성구 장대동,유성구 갑동,유성구 노은동,유성구 지족동,유성구 죽동,유성구 궁동,유성구 어은동,유성구 구성동,유성구 신성동,유성구 가정동,유성구 도룡동,유성구 장동,유성구 방현동,유성구 화암동,유성구 덕진동,유성구 하기동,유성구 추목동,유성구 자운동,유성구 신봉동,유성구 수남동,유성구 안산동,유성구 외삼동,유성구 반석동,유성구 문지동,유성구 전민동,유성구 원촌동,유성구 탑립동,유성구 용산동,유성구 봉산동,유성구 관평동,유성구 송강동,유성구 금고동,유성구 대동,유성구 금탄동,유성구 신동,유성구 둔곡동,유성구 구룡동,대덕구 오정동,대덕구 대화동,대덕구 읍내동,대덕구 연축동,대덕구 신대동,대덕구 와동,대덕구 송촌동,대덕구 법동,대덕구 중리동,대덕구 비래동,대덕구 석봉동,대덕구 목상동,대덕구 문평동,대덕구 신일동,대덕구 덕암동,대덕구 상서동,대덕구 평촌동,대덕구 장동,대덕구 용호동,대덕구 이현동,대덕구 갈전동,대덕구 부수동,대덕구 황호동,대덕구 삼정동,대덕구 미호동,대덕구 신탄진동
유성구 학하동,0,0,0,0,2,0,0,0,1,0,1,0,0,4,2,1,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,2,11,2,4,2,0,0,0,0,0,0,0,0,0,1,3,4,10,0,9,6,1,7,11,23,16,13,6,32,0,0,0,0,0,0,0,0,0,0,0,6,7,6,11,0,4,3,0,0,0,0,41,34,21,10,6,2,14,0,8,12,4,9,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,4,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유성구 계산동,0,2,0,0,2,1,1,0,2,0,3,0,0,2,6,0,2,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,3,9,0,0,0,1,0,0,0,12,10,6,4,4,2,0,0,0,0,0,0,0,0,5,4,11,7,4,48,18,1,20,46,135,44,28,44,66,0,0,0,0,0,0,0,0,0,0,1,14,20,8,24,5,2,21,0,0,0,0,268,70,34,25,41,11,56,1,40,109,6,30,11,0,5,1,3,2,0,0,0,5,0,0,2,0,0,1,30,0,2,0,1,2,1,6,2,0,0,0,0,0,0,4,0,6,0,0,1,3,6,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
유성구 성북동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유성구 송정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유성구 방동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유성구 봉명동,4,41,17,21,71,13,67,0,103,64,115,13,30,198,553,103,169,105,411,573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,3,0,42,0,0,0,0,1,0,122,337,172,232,348,48,0,19,21,143,0,0,542,492,350,377,196,60,17,0,0,0,0,0,0,0,298,349,631,322,502,1610,1411,211,589,3649,5671,3922,580,1493,1573,5,3,1,4,0,1,0,0,1,0,4,851,310,114,215,210,103,407,2,1,2,2,6272,1414,651,2076,1341,165,2115,39,883,1913,1250,2278,1056,581,856,132,620,165,4,65,9,372,36,54,112,14,7,8,628,125,390,35,24,115,103,410,221,0,0,0,0,0,1,324,86,72,7,17,30,242,245,327,97,90,56,18,50,52,22,15,1,0,0,0,0,0,1,1,86
유성구 구암동,0,2,5,2,4,2,4,0,3,7,5,1,3,23,55,4,4,12,24,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,13,47,14,20,43,5,0,0,2,20,0,0,46,29,38,23,19,5,8,0,0,0,0,0,0,0,23,55,64,33,56,232,139,22,54,318,579,259,111,167,184,0,0,0,0,0,0,0,0,0,0,3,81,81,33,99,33,57,101,0,0,0,1,1355,222,179,211,174,104,339,21,111,354,125,240,38,7,58,6,32,18,0,5,0,61,1,13,7,1,0,1,98,7,25,1,3,22,11,36,24,0,0,0,1,0,0,20,7,13,0,0,0,42,23,36,18,9,12,9,3,10,4,5,0,0,0,0,0,0,0,0,12
유성구 덕명동,2,1,0,2,1,1,4,0,4,4,2,0,1,6,20,8,6,6,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,6,6,10,10,17,2,0,0,8,3,0,0,32,23,9,13,5,2,1,0,0,0,0,0,0,0,10,16,35,11,9,53,46,9,17,134,218,94,30,27,103,0,0,1,1,0,0,0,0,0,0,0,33,37,14,24,7,17,31,0,0,0,0,436,133,103,47,68,29,163,18,145,347,47,117,33,11,24,3,22,7,1,1,0,27,0,0,3,0,0,1,114,0,13,0,3,4,3,24,10,0,0,0,0,0,0,13,4,0,0,1,1,16,8,6,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
유성구 원신흥동,3,4,0,2,8,0,16,0,7,6,6,1,5,37,80,9,9,9,44,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,22,52,19,34,50,3,0,1,0,30,0,0,127,100,84,44,39,9,1,0,0,0,0,0,0,0,49,88,141,50,77,285,224,36,122,439,990,442,205,383,326,1,0,0,0,0,0,0,0,0,0,1,90,53,27,56,26,22,56,0,0,0,0,1803,192,54,353,239,23,322,1,53,156,63,260,80,24,35,5,34,15,0,4,1,15,1,2,4,0,0,0,55,4,34,2,2,12,6,31,14,0,0,0,0,0,0,27,14,6,0,1,1,27,13,44,10,16,2,3,9,0,3,4,0,0,0,0,0,0,0,0,6
유성구 상대동,1,1,1,1,3,1,8,0,3,3,4,0,5,11,26,12,19,4,25,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,14,31,22,20,42,2,0,2,1,25,0,0,60,64,41,43,14,10,1,0,0,0,0,0,0,0,42,42,81,31,33,235,108,17,74,248,720,244,125,232,203,1,0,0,0,0,0,0,0,0,0,1,67,38,12,33,33,17,43,0,0,0,0,1201,100,86,276,75,21,281,8,75,121,70,165,66,15,17,3,29,9,1,0,0,14,2,1,1,0,0,0,50,10,35,0,12,13,2,28,8,0,0,0,0,0,0,28,11,7,1,1,5,18,8,28,9,9,3,0,0,2,2,2,0,0,0,0,0,0,0,0,7
