승차지역,동구 원동,동구 인동,동구 효동,동구 천동,동구 가오동,동구 신흥동,동구 판암동,동구 삼정동,동구 용운동,동구 대동,동구 자양동,동구 신안동,동구 소제동,동구 가양동,동구 용전동,동구 성남동,동구 홍도동,동구 삼성동,동구 정동,동구 중동,동구 추동,동구 비룡동,동구 주산동,동구 용계동,동구 마산동,동구 효평동,동구 직동,동구 세천동,동구 신상동,동구 신하동,동구 신촌동,동구 사성동,동구 내탑동,동구 오동,동구 주촌동,동구 낭월동,동구 대별동,동구 이사동,동구 대성동,동구 장척동,동구 소호동,동구 구도동,동구 삼괴동,동구 상소동,동구 하소동,중구 은행동,중구 선화동,중구 목동,중구 중촌동,중구 대흥동,중구 문창동,중구 석교동,중구 호동,중구 옥계동,중구 대사동,중구 부사동,중구 용두동,중구 오류동,중구 태평동,중구 유천동,중구 문화동,중구 산성동,중구 사정동,중구 안영동,중구 무수동,중구 구완동,중구 침산동,중구 목달동,중구 정생동,중구 어남동,중구 금동,서구 복수동,서구 변동,서구 도마동,서구 정림동,서구 용문동,서구 탄방동,서구 괴정동,서구 가장동,서구 내동,서구 갈마동,서구 둔산동,서구 월평동,서구 가수원동,서구 도안동,서구 관저동,서구 흑석동,서구 매노동,서구 산직동,서구 장안동,서구 평촌동,서구 오동,서구 우명동,서구 원정동,서구 용촌동,서구 봉곡동,서구 괴곡동,서구 만년동,유성구 원내동,유성구 교촌동,유성구 대정동,유성구 용계동,유성구 학하동,유성구 계산동,유성구 성북동,유성구 세동,유성구 송정동,유성구 방동,유성구 봉명동,유성구 구암동,유성구 덕명동,유성구 원신흥동,유성구 상대동,유성구 복용동,유성구 장대동,유성구 갑동,유성구 노은동,유성구 지족동,유성구 죽동,유성구 궁동,유성구 어은동,유성구 구성동,유성구 신성동,유성구 가정동,유성구 도룡동,유성구 장동,유성구 방현동,유성구 화암동,유성구 덕진동,유성구 하기동,유성구 추목동,유성구 자운동,유성구 신봉동,유성구 수남동,유성구 안산동,유성구 외삼동,유성구 반석동,유성구 문지동,유성구 전민동,유성구 원촌동,유성구 탑립동,유성구 용산동,유성구 봉산동,유성구 관평동,유성구 송강동,유성구 금고동,유성구 대동,유성구 금탄동,유성구 신동,유성구 둔곡동,유성구 구룡동,대덕구 오정동,대덕구 대화동,대덕구 읍내동,대덕구 연축동,대덕구 신대동,대덕구 와동,대덕구 송촌동,대덕구 법동,대덕구 중리동,대덕구 비래동,대덕구 석봉동,대덕구 목상동,대덕구 문평동,대덕구 신일동,대덕구 덕암동,대덕구 상서동,대덕구 평촌동,대덕구 장동,대덕구 용호동,대덕구 이현동,대덕구 갈전동,대덕구 부수동,대덕구 황호동,대덕구 삼정동,대덕구 미호동,대덕구 신탄진동
동구 원동,41,97,40,70,77,33,145,1,124,150,128,9,32,203,107,87,43,110,35,20,2,0,0,0,0,0,0,3,4,0,2,0,0,0,0,39,3,2,27,1,1,2,0,0,1,44,155,37,73,209,92,0,22,23,109,0,0,61,28,50,118,34,6,1,0,0,0,0,0,0,0,17,8,41,8,18,40,13,11,13,26,73,38,7,5,28,0,0,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,14,3,0,6,1,1,2,0,2,4,4,3,2,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,1,1,2,0,3,0,0,0,0,0,0,76,15,12,2,0,0,40,27,50,32,3,3,2,0,3,0,0,1,0,0,0,0,0,0,0,3
동구 인동,79,400,45,97,334,40,203,2,222,179,115,11,39,238,132,69,51,73,106,114,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,41,14,0,45,1,0,12,1,0,0,125,143,22,53,325,88,0,17,41,164,0,0,91,42,76,119,33,10,2,0,0,0,0,0,0,0,16,17,25,30,39,118,51,6,13,56,235,41,7,4,44,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,0,1,0,0,0,0,50,3,1,10,1,0,5,1,2,7,4,7,4,1,1,9,9,2,0,1,0,1,0,0,0,0,0,0,2,1,4,2,6,3,2,13,0,0,0,0,0,0,0,67,20,14,1,4,1,85,50,64,51,14,3,2,0,2,1,1,2,0,0,0,0,0,0,0,2
동구 효동,44,27,42,29,188,14,107,2,107,65,29,14,16,85,43,36,20,23,53,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,1,36,1,0,3,0,0,1,78,41,8,12,147,38,0,34,34,50,0,0,36,26,29,25,15,4,2,0,0,0,0,0,0,0,8,2,8,5,13,31,13,6,1,19,74,24,15,1,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,3,2,0,1,0,1,0,3,0,1,0,0,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,8,0,6,8,3,2,0,0,0,0,0,0,0,53,20,4,0,1,2,18,12,40,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
동구 천동,47,57,18,43,466,27,203,2,97,117,81,10,84,123,68,47,11,38,47,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,10,0,79,0,0,7,0,0,1,119,65,21,27,288,57,0,17,52,85,0,0,63,12,31,87,6,5,0,0,0,0,0,0,0,0,16,3,11,17,17,64,22,3,3,22,99,24,2,4,22,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,0,0,1,0,0,0,0,23,1,1,2,3,1,2,0,0,7,1,1,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,9,3,1,1,1,0,0,0,0,4,4,22,2,6,0,0,2,29,15,44,21,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
동구 가오동,72,193,200,497,289,134,999,14,541,338,175,22,172,357,247,133,74,76,165,113,0,3,0,0,0,0,0,14,1,2,0,0,0,0,0,575,64,24,248,0,0,33,1,2,10,186,142,36,66,524,313,0,98,320,192,0,0,101,55,103,151,61,11,17,0,0,0,0,0,0,0,29,26,71,13,46,132,69,36,21,108,284,46,18,26,58,0,0,0,0,0,0,0,0,0,0,0,21,5,0,7,0,0,9,0,0,0,0,44,6,1,7,8,1,10,0,4,14,5,6,3,1,5,1,22,0,0,0,0,4,0,0,0,0,0,0,6,4,12,0,1,1,3,13,6,0,0,0,0,0,0,85,32,18,3,0,2,108,60,100,98,8,6,4,0,2,3,0,0,0,0,0,0,0,0,0,7
동구 신흥동,42,30,13,56,256,42,180,1,163,85,89,4,56,163,74,49,30,40,26,36,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,29,3,0,19,0,0,4,1,0,1,78,62,20,27,158,66,0,14,15,87,0,0,47,12,26,47,11,6,0,0,0,0,0,0,0,0,13,7,6,7,13,31,11,2,10,25,114,15,1,9,12,0,0,0,1,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,7,4,4,2,0,0,1,0,1,2,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,1,3,3,0,1,4,0,2,1,0,0,0,0,0,0,20,6,3,0,1,0,49,22,28,69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
동구 판암동,101,178,79,223,1264,131,705,24,740,419,259,31,214,471,314,195,112,102,85,120,15,16,1,0,2,0,0,51,4,6,1,1,0,0,0,209,25,3,212,0,0,24,0,1,0,197,142,41,80,571,199,0,72,117,217,0,0,114,41,118,159,48,24,4,0,0,0,0,0,0,0,29,17,41,34,46,154,60,19,22,88,297,71,17,18,60,1,0,0,0,0,0,0,0,0,0,0,9,4,0,3,1,0,1,0,0,1,0,39,6,1,10,3,3,12,0,1,8,0,5,4,0,4,0,10,2,0,0,0,0,0,0,0,0,0,0,4,8,15,0,1,5,2,9,10,0,0,0,0,0,11,126,32,21,1,2,4,135,78,162,153,10,4,0,4,4,4,5,0,0,0,0,0,0,0,0,14
동구 삼정동,0,0,0,2,3,1,13,13,6,1,0,0,1,7,2,3,1,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
동구 용운동,104,155,72,161,674,132,755,13,1207,695,637,30,871,657,1041,211,161,152,111,159,3,7,0,0,0,0,0,11,2,1,0,1,0,0,0,79,5,1,96,0,0,19,0,1,0,394,204,58,73,598,144,0,32,49,145,0,0,169,53,93,118,35,20,1,0,0,0,0,0,0,0,32,28,37,47,50,179,79,21,34,133,359,87,13,13,64,0,0,0,0,0,0,0,0,0,0,0,18,16,0,10,1,0,2,0,0,0,0,60,5,2,9,3,1,11,0,24,13,3,19,19,0,4,1,17,3,0,0,0,0,0,0,0,0,0,0,2,15,37,0,3,13,3,20,12,0,0,0,0,0,0,114,55,34,1,6,4,314,148,177,292,6,5,0,2,11,4,5,1,0,0,0,0,0,0,0,7
동구 대동,154,139,63,122,393,51,452,5,794,305,389,29,340,733,561,229,149,184,66,136,0,6,0,0,1,0,0,3,1,3,0,1,0,0,0,62,7,0,61,0,0,10,0,2,1,365,273,50,86,669,169,0,47,51,145,0,0,131,63,107,145,35,7,5,0,0,0,0,0,0,0,25,13,62,18,36,130,53,14,24,87,322,75,15,15,31,0,0,0,0,0,0,0,0,0,0,1,24,9,0,6,4,0,1,0,0,0,0,51,5,17,9,3,0,6,0,2,15,6,14,3,2,1,0,9,2,0,0,0,3,0,1,1,0,2,0,3,6,15,0,8,4,2,11,6,0,0,0,0,0,0,112,32,31,2,2,5,199,125,194,166,10,3,6,6,4,15,5,0,0,0,0,0,0,1,0,11
동구 자양동,73,74,29,79,201,71,261,11,803,387,326,46,799,968,1699,232,210,240,79,142,0,4,0,0,3,0,0,3,0,0,1,0,0,0,0,47,4,0,47,0,0,4,1,3,0,489,248,54,108,634,90,0,13,15,129,0,0,190,80,97,107,39,5,2,0,0,0,0,0,0,0,20,20,88,21,70,211,104,10,22,153,475,112,30,24,60,1,0,0,0,0,0,0,0,0,0,0,46,10,3,3,1,2,4,0,0,0,0,100,10,1,17,5,1,8,2,8,16,9,24,8,2,12,1,14,1,1,1,3,1,0,1,2,0,0,0,1,6,20,1,9,8,2,24,15,0,0,0,0,0,0,117,117,18,2,3,1,330,153,302,300,14,7,6,20,14,4,4,0,0,0,0,0,0,0,0,11
동구 신안동,12,15,17,21,43,12,64,1,47,31,42,11,15,84,37,23,16,42,11,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,38,37,8,12,127,31,0,2,4,45,0,0,39,17,16,36,3,1,1,0,0,0,0,0,0,0,8,6,11,2,6,28,13,0,5,21,65,7,1,3,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,13,2,0,0,1,0,1,0,0,4,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,21,9,5,1,0,0,27,16,16,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
동구 소제동,17,26,12,53,113,36,112,0,461,176,424,5,66,549,305,124,85,39,8,53,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,21,0,0,2,0,0,0,90,80,18,22,168,33,0,10,6,33,0,0,29,18,19,50,7,3,2,0,0,0,0,0,0,0,15,7,19,8,8,41,18,6,6,33,127,28,6,10,17,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,2,0,2,0,0,0,0,28,5,3,6,2,1,5,1,1,4,3,15,12,3,5,2,29,4,0,2,1,0,0,2,0,0,0,0,3,15,27,0,3,12,4,16,3,0,0,0,0,1,0,46,10,17,7,5,3,150,113,114,70,6,2,1,3,6,6,0,0,0,0,0,0,0,0,0,1
동구 가양동,127,192,64,165,328,136,432,10,895,772,1006,94,1305,2215,3162,635,550,617,157,369,7,4,1,0,1,1,0,7,4,3,1,0,0,0,0,74,18,0,84,0,0,16,0,0,0,909,599,169,247,934,117,0,23,59,299,0,0,368,138,204,276,91,21,6,0,0,1,0,0,0,0,64,77,124,53,170,436,218,44,83,294,1034,274,43,31,162,0,0,0,0,0,0,0,0,0,0,0,63,23,6,12,7,5,5,0,0,0,0,161,20,9,37,23,4,40,0,17,46,12,35,12,4,16,3,37,3,0,5,1,7,0,0,2,0,2,0,9,22,39,10,4,23,13,76,29,0,0,0,0,0,0,548,196,113,4,22,25,1235,592,1028,1203,33,23,15,17,22,36,9,1,0,0,0,0,0,0,0,50
동구 용전동,129,147,42,129,305,99,406,5,847,486,1264,54,1572,2291,2025,745,1084,683,316,339,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,82,8,1,91,0,0,31,1,2,2,760,802,251,403,821,132,0,31,55,262,0,0,471,375,319,343,154,43,19,0,0,0,0,0,0,0,134,127,292,88,304,813,449,119,181,816,1999,550,60,92,231,1,0,0,0,0,0,0,0,7,0,2,198,26,6,35,18,3,10,0,0,0,0,399,48,24,71,35,13,97,2,36,79,42,114,65,20,50,10,88,15,0,8,0,36,0,3,8,0,0,0,30,38,193,14,71,45,49,158,53,0,0,0,0,0,0,1333,745,303,49,91,70,2095,1496,2394,1132,85,65,82,128,88,50,31,3,1,2,0,0,0,0,2,132
동구 성남동,46,65,32,54,101,58,204,2,269,232,412,23,261,932,653,247,241,175,68,103,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,30,2,0,34,0,0,23,2,1,0,206,239,66,147,265,54,0,14,15,111,0,0,96,93,104,80,35,10,1,0,0,0,0,0,0,0,37,37,62,14,71,210,83,15,26,95,353,122,16,18,43,0,0,0,0,0,0,0,0,0,0,4,21,8,2,11,2,0,0,0,0,0,0,56,14,2,11,17,0,10,0,9,25,24,7,3,3,3,0,15,1,0,1,1,4,0,0,2,0,0,0,4,14,15,4,4,14,12,22,4,1,0,0,0,0,0,317,84,42,20,9,9,455,262,408,410,26,7,16,5,17,6,11,1,0,0,0,0,0,0,0,28
동구 홍도동,34,63,18,21,74,30,104,1,156,170,211,13,308,785,818,291,246,280,129,126,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,38,3,0,18,0,0,4,1,0,0,228,320,135,267,293,32,0,8,14,104,0,0,194,165,126,109,77,8,10,0,0,0,0,0,0,0,43,49,70,28,112,387,143,34,44,249,735,225,36,30,68,0,0,0,0,0,0,0,0,0,0,1,56,19,4,5,3,2,2,0,0,0,1,139,14,7,58,11,3,23,0,13,16,7,40,24,7,10,0,33,3,0,0,0,4,0,0,3,0,0,0,6,9,51,6,8,35,15,33,5,1,0,0,0,0,0,624,167,89,8,11,17,429,293,743,226,25,12,21,18,13,3,4,0,0,0,0,0,0,0,0,24
동구 삼성동,124,76,27,34,76,23,156,0,156,225,237,22,54,706,525,315,289,380,265,226,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,5,1,32,0,0,1,3,2,0,434,537,247,338,509,83,0,15,29,177,0,0,271,165,157,260,82,10,14,0,0,0,0,0,0,0,38,48,110,21,103,462,131,53,55,195,849,189,30,28,66,0,0,0,0,0,0,0,0,0,0,0,73,8,2,10,5,3,3,0,0,0,0,141,10,4,23,8,2,20,0,37,19,6,26,8,2,7,4,39,2,0,1,0,3,0,0,0,0,0,0,7,9,36,3,4,9,3,35,5,0,0,0,0,0,0,374,144,73,3,5,6,229,157,395,212,10,5,5,15,9,12,1,3,0,0,0,0,0,0,0,25
동구 정동,45,117,72,88,144,47,200,1,343,129,223,6,31,1057,652,355,285,261,114,40,2,0,0,0,1,0,0,2,1,0,1,1,0,0,0,102,10,0,72,0,0,6,2,1,3,152,621,268,336,790,187,0,30,73,413,0,0,521,313,341,532,162,39,9,0,0,0,0,0,0,0,194,116,383,102,177,631,279,89,153,567,2115,472,118,144,486,0,0,0,1,0,0,0,0,0,0,1,344,44,10,23,24,4,16,2,0,0,1,497,32,26,116,84,8,78,4,49,114,107,284,498,203,200,90,415,69,6,39,15,29,4,18,25,6,1,2,27,195,443,44,65,125,62,247,55,1,0,0,2,0,1,499,216,71,26,13,14,210,225,316,103,40,16,10,30,19,16,23,2,0,0,0,0,0,0,0,39
동구 중동,15,75,40,65,88,28,179,1,168,168,180,7,51,469,298,205,144,296,32,100,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,40,3,3,29,0,1,4,0,0,1,65,501,123,234,355,102,0,16,48,179,0,0,204,121,130,268,70,16,10,0,0,0,0,0,0,0,36,67,142,39,75,193,89,33,72,159,353,118,35,21,109,1,1,0,2,0,0,0,0,0,0,0,50,21,4,4,4,0,3,0,0,0,1,85,17,8,14,11,2,18,1,11,20,7,32,41,14,23,7,64,8,0,8,0,8,0,5,1,0,1,1,4,17,42,2,6,16,13,36,14,0,0,0,0,0,0,204,59,31,7,8,2,104,104,119,71,8,7,4,2,6,4,7,0,0,0,0,0,0,0,1,13
동구 추동,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동구 비룡동,0,0,0,1,0,1,5,1,1,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
